PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
466,NA,"messy CO1, no other genes attempted",Plocamium pacificum,yes,x (JN),5/11/2015,NA,NA,"5/12/2015, +ve",x (JN) Sequence is unclear,"5/11/2015, +ve",NA,NA,Red,"Hakai, Fifith Beach channel",24-May-2013,"left over ground material in vial, ground material reached 0.1 mark during extraction",NA,Y,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
467,NA,never extracted?,Melobesia mediocris,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hakai, Fifith Beach channel",24-May-2013,on Phyllospadix torreyi,NA,Y,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
468,Fryeella gardneri,sequence 100% match in BOLD,Fryeella gardneri,yes,x (JN),5/11/2015,NA,NA,"5/12/2015, +ve",x (JN),"5/11/2015, +ve",NA,NA,Red,"Hakai, South Pointers",24-May-2013,"growing flat on rock, in groups of 4; no genetic material left in vial, ground material reached 0.1 mark during extraction",A89789,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
469,Sparlingia pertusa,sequence 100% match in BOLD,Sparlingia pertusa,yes,x (JN),5/11/2015,NA,NA,"5/12/2015, +ve",x (JN),"5/11/2015, +ve",NA,NA,Red,"Hakai, South Pointers",24-May-2013,"ground material reached 0.1 mark during extraction, very little material left over",A89790,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
470,Bossiella sp. 1chiloensis,NA,Bossiella sp. #1 chiloensis,NA,yes,6/27/2013,NA,x(KH),NA,NA,8i14,NA,NA,NA,"Hakai, South Pointers",25-May-2013,NA,A89791,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
471,Beringia wynnei,sequence 100% match in BOLD,Salishia firma,yes,x (JN),5/11/2015,NA,NA,"5/12/2015, faint +ve",x (JN),"5/11/2015, -ve",NA,NA,Red,"Hakai, South Pointers",25-May-2013,"ground material reached 0.1 mark during extraction, no genetic sample left",A89791,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
472,Opuntiella sp. 2californica,sequence 98.97% match in BOLD,Opuntiella californica,yes,x (JN),5/19/2015,NA,NA,"6/29/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"No sample left over from extraction, ground material reached quarter 0.1 mark, PCR worked after 1:10 dilution",A89792,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
473,NA,Messy seq X2; re-PCR failed,Bossiella sp. #1 chiloensis,NA,yes,6/27/2013,30viv13,NA,NA,NA,NA,NA,NA,NA,"Hakai, South Pointers",25-May-2013,NA,A89794,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
474,Sparlingia pertusa,sequence 100% match in BOLD,Sparlingia pertusa,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"No sample left over from extraction, ground material reached half 0.1 mark",A89795,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
475,Gloiocladia vigenaultii,sequence 100% match in BOLD,Gloiocladia laciniata,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"Brightly green, irridescent; lots of silica beads attached on sample, ground material reached half 0.1 mark, some left over ground material left in vial",A89796,NA,"subtidal, 20m",NA,NA,NA,NA,NA,NA
476,Mazzaella sanguinea,sequence 99.12% match in BOLD,Mazzaella sp.,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN); might want to redo this because it was labeled as PTM 478 in geneious (there was two sequences labelled PTM 478); update Katy re-named the raw file PTM476.,NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"very thick, purple, irregular forked, reached half 0.1 mark from extraction, very little ground material left in vial",A89797,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
477,Polyneura latissima,sequence 100% match in BOLD,Polyneura latissima,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"No sample left over from extraction, ground material reached half 0.1 mark",A89798,NA,"subtidal, 15m",NA,NA,NA,NA,NA,NA
478,Leptofauchea pacifica,sequence 100% match in BOLD,Rhodymenia sp.,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"small dichotomies like R. californica, no material left over from extraction, ground material reached half 0.1 mark",A89799,NA,"subtidal, 15m",NA,NA,NA,NA,NA,NA
479,NA,CO1 messy,Saccharina groenlandica,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, faint",x (JN) sequence is unclear,NA,NA,NA,Brown,"Hakai, South Pointers",25-May-2013,"no genetic sample left in vial, ground material did not reach half 0.1 mark, PCR failed full strenth, faint band after 1:10 dilution; check Jimmy's notebook for nanodrop results",A89800,NA,"subtidal, 12m",NA,NA,NA,NA,NA,NA
480,NA,CO1 messy,Callophyllis sp.,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN) sequence messy,NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"sample was very attached to kimwipe tissue, some kimwipe tissue in ground material, resulted in ground material being white, some ground material left over in vial, ground material reached half 0.1 mark, not much genetic sample to begin with prior to grinding, one peice appeared to have some other substance stuck on it",A89801,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
481,Callophyllis schneideri,sequence 100% match in BOLD,Callophyllis sp.,yes,x (JN),5/19/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,No material left over after extraction,A89802,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
482,Gloiocladia fryeana,sequence 100% match in BOLD,Callophyllis sp.,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"No material left over after extraction, little genetic sample to begin with, material was very attached to kimwipe, kimwipe included in ground material",A89803,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
483,Pyropia gardneri,sequence 100% match in BOLD,Pyropia gardneri,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"No material left in vial after extractions, little bits of kimwipe in ground material",A89804,NA,"subtidal, 12m",NA,NA,NA,NA,NA,NA
484,NA,No DNA sample taken at Hakai,Pterygophora californica,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"Hakai, South Pointers",25-May-2013,No DNA sample was taken,A89805,NA,"subtidal, 12m",NA,NA,NA,NA,NA,NA
485,Hymenena fryeana,sequence 100% match in BOLD,Myriogramme repens,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, South Pointers",25-May-2013,"very little genetic sample, ground material did not reach half 0.1 mark, very gooey, no material left in vial",A89806,NA,"subtidal, 12m",NA,NA,NA,NA,NA,NA
486,Mesophyllum conchatum,Mesophyllum conchatum,Clathromorphum parcum,NA,yes,6/27/2013,30viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach Channel",24-May-2013,on Calliarthron,A89807,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
487,Corallina sp. 1frondescens,NA,Corallina sp. frondescens,NA,yes,6/27/2013,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach Channel",24-May-2013,NA,A89808,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
488,Bossiella hakaiensis,NA,Bossiella sp. #5 chiloensis,NA,yes,6/27/2013,16viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach Channel",24-May-2013,NA,A89809,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
489,Corallina sp. 2frondescens,NA,Corallina sp.,NA,yes,6/27/2013,16viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach Channel",24-May-2013,NA,A89810,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
490,NA,CO1 messy; no other gene attempted,Acrochaetium sp.,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN) sequence messy,NA,NA,NA,Red,"Hakai, North Beach Bench",25-May-2013,"in Q13, Low, in Bryozoan, light brown in color, no silica beads or any other preservatives in vial. Ground material not reach half 0.1 mark. No material left in vial",A89811,NA,low intertidal,NA,51 39 50 N,128 08 15 W,NA,NA,NA
491,Derbesia sp. 1GWS,"sequence 100% match in ncbi BLAST
",Derbesia marina,yes,x (JN),6/22/2015,NA,NA,NA,NA,NA,NA,NA,Green,"Hakai, Fifth Beach",25-May-2013,"in EtOH, difficult to grind sample, pellet did not form properly after centrifudge step in extractions, PCR positive for tufA",NA,Y,subtidal,NA,NA,NA,NA,NA,NA
492,NA,CO1 messy; no other gene attempted,Antithamnion defectum,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x(JN) sequence messy,NA,NA,NA,Red,"Hakai, Fifth Beach",26-May-2013,"in EtOH, sample did not freeze well under liquid nitrogen. very mushy, colourless in EtOH, obtained very little ground material, no material left in vial",NA,Y,"low intertidal, transect Q7",NA,NA,NA,NA,NA,NA
493,Pterosiphonia bipinnata,sequence 100% match in BOLD; KHudate June2016 - now matches to Polyostea robusta (must be a name Gary is applying to this group).,Pterosiphonia bipinnata,yes,x (JN),5/20/2015,NA,NA,"7/10/2015, +ve",NA,NA,NA,NA,Red,"Hakai, Fifth Beach",26-May-2013,"Ground material reached half 0.1 mark, little ground material left in vial, PCR worked after 1:10 dilution",NA,Y,"low intertidal, transect Q3",NA,NA,NA,NA,NA,NA
494,NA,NA,Lithophyllum impressum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",25-May-2013,raised withe margin,A89815,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
495,Bossiella reptans,NA,Bossiella reptans,NA,yes,6/27/2013,16viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",25-May-2013,NA,A89816,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
496,Desmarestia sp. 2aculeata,sequence 99.5% match in BOLD,Desmarestia aculeata,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, +ve",x (JN),NA,NA,NA,Brown,"Hakai, North Beach Bench",25-May-2013,"no genetic sample left in vial, ground material did not reach half 0.1 mark, PCR failled full stregnth, worked after 1:40 dilution",A89817,NA,"subtidal, 6-8m",NA,NA,NA,NA,NA,NA
497,NA,CO1 messy; no other gene attempted,Dilsea califronica,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN) sequence messy,NA,NA,NA,Red,"Hakai, Fifth Beach",26-May-2013,"Q 5m low, ground material reached half 0.1 mark, lots of ground material left in vial",A89818,NA,"low, Quadrat 5m",NA,NA,NA,NA,NA,NA
498,Ceramium pacificum,sequence 99.79% match in BOLD,Ceramium pacificum,yes,x (JN),5/20/2015,NA,NA,"5/26/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Fifth Beach",26-May-2013,"Q 7m low, ground material was very sticky, ground material did not reach half 0.1 mark, no material left in vial",A89819,NA,"low, Quadrat 7m",NA,NA,NA,NA,NA,NA
499,Mazzaella splendens,sequence 100% match in BOLD,Mazzaella splendens,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, North Beach Bench",27-May-2013,"ground material reached half 0.1 mark, left over ground material in vial",A89820,NA,low intertidal,NA,NA,NA,NA,NA,NA
500,Mazzaella rosea,"sequence 96.86% match with Mazzaella rosea; not 100% confident in this ID, but much closer to rosea than to any other Mazzaella spp. - messy CO1 seq; messy rbcL",Mazzaella californica,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN) sequence messy,NA,NA,NA,Red,"Hakai, North Beach Bench",27-May-2013,"Tertrasporic, near Phyllospadix, ground material reached half 0.1 mark, no genetic sample left over",A89821,NA,low intertidal,NA,NA,NA,NA,NA,NA
501,Neogastroclonium subarticulatum,sequence 100% match in BOLD,Neogastroclonium subarticulatum,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, West Beach Bench",27-May-2013,"lots of silica beads attached on sample, ground material reached half 0.1 mark, left over ground material in vial",A89822,NA,low intertidal,NA,NA,NA,NA,NA,NA
502,Analipus japonicus,sequence 100% match in BOLD,Analipus japonicus,yes,x (JN),6/23/2015,NA,NA,"7/9/2015, +ve",x (JN),NA,NA,NA,Brown,"Hakai, North Beach Bench",27-May-2013,"no genetic sample left in vial, ground material did not reach half 0.1 mark, PCR failed full strength, worked after 1:80 dilution",A89823,NA,low intertidal,NA,NA,NA,NA,NA,NA
503,Callithamnion pikeanum,sequence 100% match in BOLD,Callithamnion pikeanum,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, North Beach Bench",27-May-2013,"no genetic sample left over, ground material reached half 0.1 mark",A89824,NA,"low intertidal, on rock",NA,NA,NA,NA,NA,NA
504,NA,No DNA sample taken at Hakai,Melanosiphon intestinalis,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"Hakai, West Beach Bench",27-May-2013,No DNA sample was taken,A89825,NA,high intertidal,NA,NA,NA,NA,NA,NA
505,Leathesia marina,sequence 98.19% match in BOLD,Phaeostrophion irregulare,yes,x (JN),6/23/2015,NA,NA,"6/29/2015, very faint bands",NA,NA,NA,NA,Brown,"Hakai, West Beach Bench",27-May-2013,"On rocks, surrounded by sand, no genetic sample left in vial, ground material reached half 0.1 mark, PCR failed full strength; very faint bands after many dilutions (1:10, 1:40, 1:80, 1:120, 1:160)",A89826,NA,lower mid intertidal,NA,NA,NA,NA,NA,NA
506,Egregia menziesii,sequence 100% match in BOLD,Egregia menziesii,yes,x (JN),6/23/2015,NA,NA,"6/29/2015, +ve",NA,NA,NA,NA,Brown,"Hakai, West Beach Bench",27-May-2013,"ground material reached half 0.1 mark, left over ground material in vial, PCR failed full strength, worked after 1:40 dilution",A89827,NA,low intertidal,NA,NA,NA,NA,NA,NA
507,Rhodymenia californica,sequence 99.52% match in BOLD,Ozophora latifolia,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, faint +ve",x (JN),NA,NA,NA,Red,"Hakai, North Beach Bench",27-May-2013,"Densly packed,s omewhat turf-like, very little genetic sample in vial, ground material did not reach half 0.1 mark, no material left in vial",A89828,NA,"low intertidal, under Alaria",NA,NA,NA,NA,NA,NA
508,Odonthalia floccosa,sequence 99.77% match in BOLD,Odonthalia floccosa,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, West Beach Bench",27-May-2013,"Cystocarpic, ground material reached half 0.1 mark, left over ground material in vial",A89829,NA,mid intertidal,NA,NA,NA,NA,NA,NA
509,NA,PCR fail,Fucus distichus,yes,x (JN),6/23/2015,NA,NA,"7/30/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, West Beach Bench",27-May-2013,"typical form, beside PTM 510, ground material reached half 0.1 mark, left over ground material in vial, PCR failed full strength & after many dilutions (1:10, 1:40, 1:80, 1:120)",A89830,NA,mid intertidal,NA,NA,NA,NA,NA,NA
510,NA,PCR fail,Fucus distichus,yes,x (JN),6/23/2015,NA,NA,"8/8/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, West Beach Bench",27-May-2013,"elongate form, beside PTM 509, 9cm receptacle, ground material reached half 0.1 mark, left over ground material in vial, PCR failed full strength & after 1:10, 1:40 dilutions; check Jimmy's notebook for nanodrop results",A89831,NA,mid intertidal,NA,NA,NA,NA,NA,NA
511,NA,CO1 messy,Plocamium violaceum,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN) sequence messy,NA,NA,NA,Red,"Hakai, North Beach Boulders",27-May-2013,"Dense turf, ground material did not reach half 0.1 mark, no genetic sample left in vial",A89832,NA,low intertidal,NA,NA,NA,NA,NA,NA
512,NA,PCR fail,Sphacelaria rigidula,yes,x (JN),6/23/2015,NA,NA,"6/30/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, North Beach",27-May-2013,"Near fresh water runoff; dense mats, ground material reached half 0.1 mark, left over ground material in vial; PCR failed full strength & after many dilutions (1:10, 1:40, 1:80, etc), check Jimmy's notebook for nanodrop results",A89833,NA,high intertidal,NA,NA,NA,NA,NA,NA
513,Ectocarpus sp. 2siliculosus,sequence 99.56% match in BOLD,Ectocarpus commensalis,yes,x (JN),6/23/2015,NA,NA,"8/8/2015, +ve",x (JN),NA,NA,NA,Brown,"Hakai, North Beach Bench",27-May-2013,"On Saccharina sessilis, PCR failed full strength, worked after 1:10 dilution",A89834,NA,low intertidal,NA,NA,NA,NA,NA,NA
514,Bossiella orbigniana,NA,Bossiella dichotoma,NA,yes,6/27/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Boulders",27-May-2013,Reproductive,A89835,NA,low intertidal,NA,NA,NA,NA,NA,NA
515,Corallina sp.1 california,need COI,Corallina officinalis,NA,yes,6/28/2013,16viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach (west end)",27-May-2013,From Paul:  515 is an exact match to GWS021316 that I call Corallina officinalis var. chilensis South.,A89836,NA,very low intertidal,NA,NA,NA,NA,NA,NA
516,Chiharaea silvae,NA,Bossiella reptans,NA,yes,6/28/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89837,NA,low intertidal,NA,NA,NA,NA,NA,NA
517,Bossiella orbigniana,for phylogeny,Calliarthron tuberculosum ?,NA,yes,6/28/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89838,NA,low intertidal,NA,NA,NA,NA,NA,NA
518,Chiharaea silvae,NA,Corallina frondescens,NA,yes,6/28/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89839,NA,low intertidal,NA,NA,NA,NA,NA,NA
519,Chiharaea rhododactyla,NA,Bossiella sp.,NA,yes,6/28/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,Same is missing from box,A89840,NA,low intertidal,NA,NA,NA,NA,NA,NA
520,Bossiella hakaiensis,NA,Bossiella sp. #5 chiloensis,NA,yes,6/28/2013,16viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89841,NA,low intertidal,NA,NA,NA,NA,NA,NA
521,Chiharaea silvae,NA,Bossiella reptans ?,NA,yes,7/3/2013,16viv13; 15i14,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89842,NA,"low, under Phyllospadix",NA,NA,NA,NA,NA,NA
522,Crusticorallina muricata,"psba PCR failed
",Pseudolithophyllum muricatum,NA,yes,7/3/2013,NA,x(KH),8v15,X (CJ),NA,X(CJ),NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89843,NA,"low, under Alaria/Costaria",NA,NA,NA,NA,NA,NA
523,NA,PCR failed 3 times; PCR failed with re-extracted DNA,Mesophyllum vancouveriense,NA,yes; re-extracted 27xi13,7/3/2013,"15i14 (with 27xi13 DNA, failed)",NA,NA,NA,NA,NA,NA,Coralline,"Hakai, North Beach Bench",27-May-2013,NA,A89844,NA,"low, on Phyllo. root",NA,NA,NA,NA,NA,NA
524,Callophyllis pinnata,sequence 100% match in BOLD,Callophyllis sp.,yes,x (JN),5/28/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Port Reef",27-May-2013,"Thick; irregular, ground material reached half 0.1 mark, no genetic sample left in vial",A89845,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
525,Salishia sanguinea,sequence 100% match in BOLD,Salishia firma,yes,x (JN),5/29/2015,NA,NA,"6/29/2015, +ve",NA,NA,NA,NA,Red,"Hakai, Port Reef",27-May-2013,"Very irregular branching; slippery, ground material reached half 0.1 mark, no genetic sample left in vial, PCR worked after 1:10 dilution",A89846,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
526,Salishia sanguinea,sequence 99.76% match in BOLD,Hymenena sp.,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Port Reef",27-May-2013,"Ovate; on tunicate, ground material reached half 0.1 mark, no genetic sample left over",A89847,NA,"subtidal, 15m",NA,NA,NA,NA,NA,NA
527,NA,PCR fail,Nereocystis luetkeana,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, Port Reef",27-May-2013,"Baby, no genetic sample left, ground material reached half 0.1 mark; PCR failed full strength & after 1:10 & 1:40 dilution; check Jimmy's notebook for nanodrop results",A89848,NA,"subtidal, 10m",NA,NA,NA,NA,NA,NA
528,NA,PCR failed 3 times; PCR failed with re-extracted DNA,Coralline crust,NA,yes; re-extracted 2xii13,7/3/2013,"15i14 (with 2xii13 DNA, failed)",NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Port Reef",27-May-2013,On empty Balanus nubulus,A89849,NA,"subtidal, 17m",NA,NA,NA,NA,NA,NA
529,Gloiocladia laciniata,sequence 100% match Gloiocladia sp. 1laciniata,Salishia sp.,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Port Reef",27-May-2103,"On Pterygphora stipe, ground material reached quarter 0.1 mark, no genetic sample left over",A89850,NA,"subtidal, 10m",NA,NA,NA,NA,NA,NA
530,NA,PCR failed 3 times; try re-extraction,Coralline crust,NA,yes,7/3/2013,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Port Reef",27-May-2013,NA,A89851,NA,"subtidal, 17m",NA,NA,NA,NA,NA,NA
531,NA,PCR failed 3 times; PCR failed with re-extracted DNA,Coralline crust,NA,yes; re-extracted 2xii13,7/3/2013,"15i14 (with 2xii14 DNA, failed)",NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Port Reef",27-May-2013,NA,A89852,NA,"subtidal, 18m",NA,NA,NA,NA,NA,NA
532,NA,sequence 99.61% match with Metacaprella kennerlyi (an animal) in BOLD,Polysiphonia hendryi var. luxurians,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Port Reef",27-May-2013,"Covered in caprellids, ground material reached half 0.1 mark, little ground material left in vial",A89853,NA,"subtidal, 13m",NA,NA,NA,NA,NA,NA
533,NA,PCR fail,Macrocystis pyrifera,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, Maey Island",27-May-2013,"no genetic sample left, ground material reached half 0.1 mark; PCR failed full strength & after 1:10 & 1:40 dilutions",A89854,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
534,Agarum fimbriatum,sequence 99.78% match in BOLD,Agarum fimbriatum,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, faint bands",NA,NA,NA,NA,Brown,"Hakai, Maey Island",27-May-2013,"no genetic sample left, ground material reached half 0.1 mark, faint bands for 1:10 & 1:40 dilutions, PCR failed full strength",A89855,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
535,NA,CO1 messy; no other gene attempted,Polysiphonia paniculata,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, faint +ve",x (JN) sequence is messy,NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"On pebble, very little ground material obtained, ground material was very mushy, no genetic sample left over, green colouring on tips of sample",A89856,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
536,Gloiocladia laciniata,sequence 100% match with Gloiocladia sp. 1laciniata,Gloiocladia laciniata,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"On worm tube in shellsand; female, ground material reached a little under half 0.1 mark, no genetic sample left over",A89857,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
537,NA,PCR fail,Saccharina latissima,yes,x (JN),6/23/2015,NA,NA,"7/8/2015, -ve",NA,NA,NA,NA,Brown,"Hakai, Maey Island",27-May-2013,"left over ground material in vial, ground material reached half 0.1 mark, PCR failed full strength & after 1:10 & 1:40 dilution; check Jimmys notebook for nanodrop results",A89858,NA,"subtidal, 2m",NA,NA,NA,NA,NA,NA
538,Bossiella orbigniana,NA,Bossiella orbigniana,NA,yes,7/3/2013,NA,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, Maey Island",27-May-2013,NA,A89859,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
539,Ceramium pacificum,sequence 100% match in BOLD,Ceramium pacificum,yes,x (JN),5/29/2015,NA,NA,"6/01/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"ground material was very sticky, did not reach half 0.1 mark, no genetic sample left over",A89860,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
540,NA,both forward and reverse CO1 sequences are relatively clean - but no seq. match….animal contaminant?; rbcL failed.,Callithamnion acutum,yes,x (JN),6/4/2015,NA,NA,"6/24/2015, +ve",x (JN); sequence clean,NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"On wormtube in shellsand, ground material is pasty, no genetic sample left in vial, ground material did not reach half 0.1 mark",A89861,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
541,Gracilaria pacifica,sequence 100% match in BOLD,Gracilaria sp.,yes,x (JN),6/4/2015,NA,NA,"6/24/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"Tangled in Sarcodiotheca, ground material was clumped together, no genetic sample left in vial",A89862,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
542,Pugetia fragilissima,sequence 100% match in BOLD,Salishia firma,yes,x (JN),6/4/2015,NA,NA,"6/24/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"Female, lots of silicia attached to genetic sample, reached half 0.1 mark",A89863,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
543,NA,messy CO1 contamination; messy rbcL,Antithamnion defectum,yes,x (JN),6/4/2015,NA,NA,"6/24/2015, +ve",x (JN); sequence somewhat clean,NA,NA,NA,Red,"Hakai, Maey Island",27-May-2013,"On wormtube in shellsand, ground material was very pasty, no genetic sample left in vial",A89864,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
544,Melobesioideae sp. 1/Lithothamnion sp. 1,match to Sandra's CO1_Lithothamnion_sp1_rhodolith,Coralline crust,NA,yes,7/3/2013,16viv13(failed); 30viv13,x(KH),NA,NA,NA,NA,NA,Coralline,"Hakai, Maey Island",27-May-2013,"From Paul:  matches two sequences I have from Sandra, one labeled CO1 from Kinzarof Lagoon (no number) and the other CO3 (SCL14529).  Clearly Melobesioideae, but this subfamily/family is a complete mess in terms of genera, particularly with respect to Leptophytum",A89865,NA,"subtidal, 3.5m",NA,NA,NA,NA,NA,NA
